author,gender,note
Audre Lorde,F,American Black lesbian feminist poet
Barbara Comyns,F,British novelist
Barbara Kingsolver,F,American novelist (Poisonwood Bible)
Barbara Pym,F,British novelist
Barry Hines,M,British novelist (A Kestrel for a Knave)
Becky Chambers,F,American SF novelist (Wayfarers)
Ben Okri,M,Nigerian novelist (The Famished Road)
Benedict Kiely,M,Irish novelist
Benjamín Labatut,M,Chilean novelist (When We Cease to Understand)
Bernard Malamud,M,American novelist (The Fixer)
Bernardine Evaristo,F,British novelist; Booker winner
Beryl Bainbridge,F,British novelist
Bessie Head,F,South African novelist (A Question of Power)
Bibhutibhushan Bandopadhyay,M,Bengali novelist (Pather Panchali)
Bibhutibhushan Bandyopadhyay,M,Bengali novelist; alt. spelling
Birgit Vanderbeke,F,German novelist (Mussel Feast)
Bohumil Hrabal,M,Czech novelist (Closely Watched Trains)
Breandán Ó hEithir,M,Irish-language novelist
Bret Easton Ellis,M,American novelist (American Psycho)
Brit Bennett,F,American novelist (The Vanishing Half)
Buchi Emecheta,F,Nigerian novelist (The Joys of Motherhood)
Caleb Femi,M,Nigerian-British poet (Poor)
Cao Xueqin,M,Chinese novelist (Dream of the Red Chamber)
Carson McCullers,F,American novelist (Heart is a Lonely Hunter)
Catherine Newman,F,American novelist (We All Want Impossible Things)
Charlotte Perkins Gilman,F,American writer (Yellow Wallpaper)
China Miéville,M,British SF/fantasy novelist
Christa Wolf,F,German novelist (Cassandra)
Christine Brooke-Rose,F,British experimental novelist
Christopher Priest,M,British SF novelist (The Prestige)
Christos Tsiolkas,M,Australian novelist (The Slap)
Claire Keegan,F,Irish novelist (Small Things Like These)
Clarice Lispector,F,Brazilian novelist
Claude McKay,M,Jamaican-American novelist (Home to Harlem)
Claudia Rankine,F,Jamaican-American poet (Citizen)
Colette,F,French novelist (Claudine; Gigi)
Colm Tóibín,M,Irish novelist (Brooklyn)
Colson Whitehead,M,American novelist; Pulitzer winner
Constance Debré,F,French novelist (Love Me Tender)
D. H. Lawrence,M,British novelist (Sons and Lovers)
Daniel Defoe,M,English novelist (Robinson Crusoe)
Daniel Keyes,M,American novelist (Flowers for Algernon)
Daniel Mason,M,American novelist (The Piano Tuner)
Dante Alighieri,M,Italian poet (Divine Comedy)
Dashiell Hammett,M,American crime novelist
David Foster Wallace,M,American novelist (Infinite Jest)
David Markson,M,American experimental novelist
David Mitchell,M,British novelist (Cloud Atlas)
Denis Johnson,M,American novelist (Jesus' Son)
Derek Walcott,M,Saint Lucian poet; Nobel laureate
Diana Evans,F,British novelist (Ordinary People)
Diana Wynne Jones,F,British fantasy novelist
Dino Buzzati,M,Italian novelist (Tartar Steppe)
Djuna Barnes,F,American novelist (Nightwood)
Dodie Smith,F,British novelist (I Capture the Castle)
Don DeLillo,M,American novelist (White Noise)
Donal Ryan,M,Irish novelist (The Spinning Heart)
Donna Tartt,F,American novelist (The Secret History)
Douglas Adams,M,British SF novelist (Hitchhiker's Guide)
Dylan Thomas,M,Welsh poet/writer
E. B. White,M,American writer (Charlotte's Web)
E. L. Doctorow,M,American novelist (Ragtime)
E. M. Forster,M,British novelist (A Passage to India)
Edgar Allan Poe,M,American writer
Edmund White,M,American novelist
Edna O'Brien,F,Irish novelist (The Country Girls)
Eduardo Galeano,M,Uruguayan writer (Open Veins of Latin America)
Edward St Aubyn,M,British novelist (Patrick Melrose)
Edward Upward,M,British novelist
Edwidge Danticat,F,Haitian-American novelist
Eimear McBride,F,Irish novelist (A Girl Is a Half-formed Thing)
Eleanor Catton,F,New Zealand novelist (The Luminaries)
Elfriede Jelinek,F,Austrian novelist; Nobel laureate
Elizabeth Bowen,F,Anglo-Irish novelist
Elizabeth Gaskell,F,British Victorian novelist
Elizabeth Jane Howard,F,British novelist (Cazalet Chronicles)
Elizabeth Jenkins,F,British novelist
Elizabeth Smart,F,Canadian novelist (By Grand Central Station)
Elizabeth Taylor,F,British novelist
Elsa Morante,F,Italian novelist (History; Arturo's Island)
Emily St. John Mandel,F,Canadian novelist (Station Eleven)
Erich Maria Remarque,M,German novelist (All Quiet on Western Front)
Eva Baltasar,F,Catalan novelist (Permafrost)
Evelyn Waugh,M,British novelist (Brideshead Revisited)
F. Scott Fitzgerald,M,American novelist (The Great Gatsby)
Fernanda Melchor,F,Mexican novelist (Hurricane Season)
Flann O'Brien,M,Irish novelist (At Swim-Two-Birds)
Flannery O'Connor,F,American novelist (Wise Blood)
Frances Hardinge,F,British YA novelist (The Lie Tree)
Francis Spufford,M,British writer (Golden Hill)
Frank Norris,M,American novelist (McTeague)
Fumiko Enchi,F,Japanese novelist (The Waiting Years)
Fyodor Dostoyevsky,M,Russian novelist; alt. spelling
G. V. Desani,M,Indian novelist (All About H. Hatterr)
Gabrielle Zevin,F,American novelist (Tomorrow x3)
George Saunders,M,American novelist (Lincoln in the Bardo)
George du Maurier,M,British novelist (Trilby)
Georges Perec,M,French novelist (Life: A User's Manual)
Gerald Murnane,M,Australian novelist (The Plains)
Gertrude Stein,F,American modernist writer
Ghassan Kanafani,M,Palestinian novelist (Men in the Sun)
Gillian Flynn,F,American novelist (Gone Girl)
Giorgio Bassani,M,Italian novelist (Garden of Finzi-Continis)
Giovanni Boccaccio,M,Italian writer (Decameron)
Graham Swift,M,British novelist (Last Orders)
Günter Grass,M,German novelist; Nobel laureate
H. G. Wells,M,British SF novelist
Halldór Laxness,M,Icelandic novelist; Nobel laureate
Hanif Kureishi,M,British novelist (Buddha of Suburbia)
Hans Jakob Christoffel von Grimmelshausen,M,German baroque novelist (Simplicissimus)
Hanya Yanagihara,F,American novelist (A Little Life)
Harper Lee,F,American novelist (To Kill a Mockingbird)
Haruki Murakami,M,Japanese novelist
Heather Fawcett,F,Canadian fantasy novelist (Emily Wilde)
Heinrich von Kleist,M,German writer (Michael Kohlhaas)
Helen Dewitt,F,American novelist (The Last Samurai)
Helen Fielding,F,British novelist (Bridget Jones)
Henry Green,M,British novelist; pen name of Henry Yorke
Henry Williamson,M,British novelist (Tarka the Otter)
Hermann Hesse,M,German novelist; Nobel laureate
Hernán Díaz,M,Argentine-American novelist (Trust)
Honoré de Balzac,M,French novelist (Comédie humaine)
Ian McEwan,M,British novelist (Atonement)
Ibn Tufayl,M,12th-c. Andalusi philosopher (Hayy ibn Yaqzan)
Iris Murdoch,F,Irish-British novelist
Irmgard Keun,F,German novelist
Irvine Welsh,M,Scottish novelist (Trainspotting)
Irène Némirovsky,F,Ukrainian-French novelist (Suite Française)
Isabel Allende,F,Chilean novelist (House of the Spirits)
Italo Svevo,M,Italian novelist (Zeno's Conscience)
Itamar Vieira Junior,M,Brazilian novelist (Crooked Plow)
Ivan Aleksandrovich Goncharov,M,Russian novelist (Oblomov)
Ivo Andrić,M,Yugoslav novelist; Nobel laureate
Ivy Compton-Burnett,F,British novelist
J. D. Salinger,M,American novelist (Catcher in the Rye)
J. G. Farrell,M,British novelist (Troubles; Siege of Krishnapur)
J. L. Carr,M,British novelist (A Month in the Country)
J. M. Coetzee,M,South African novelist; Nobel laureate
J.R.R. Tolkien,M,British fantasy novelist (Lord of the Rings)
JL Carr,M,British novelist; alt. spelling
Jabbour Douaihy,M,Lebanese novelist (June Rain)
Jack Kerouac,M,American novelist (On the Road)
Jade Sharma,F,American novelist (Problems)
James Ellroy,M,American crime novelist (L.A. Confidential)
James Hogg,M,Scottish novelist (Confessions of a Justified Sinner)
James Kelman,M,Scottish novelist; Booker winner
James Lloyd Carr,M,British novelist; full name of J. L. Carr
James Salter,M,American novelist (A Sport and a Pastime)
Jane Bowles,F,American novelist (Two Serious Ladies)
Jane Gardam,F,British novelist (Old Filth)
Janice Galloway,F,Scottish novelist
Javier Cercas,M,Spanish novelist (Soldiers of Salamis)
Javier Marías,M,Spanish novelist (A Heart So White)
Jean Giono,M,French novelist
Jeffrey Eugenides,M,American novelist (Middlesex)
Jen Beagin,F,American novelist (Big Swiss)
Jennifer Egan,F,American novelist (Visit from the Goon Squad)
Jenny Erpenbeck,F,German novelist (Kairos); Booker winner
Jerome K. Jerome,M,British humorist (Three Men in a Boat)
Johann Wolfgang von Goethe,M,German writer (Faust)
John Berger,M,British novelist/critic (Ways of Seeing)
John Buchan,M,Scottish novelist (39 Steps)
John Bunyan,M,English writer (Pilgrim's Progress)
John Dos Passos,M,American novelist (U.S.A. trilogy)
John Fowles,M,British novelist (The Magus)
John Irving,M,American novelist (The World According to Garp)
John McGahern,M,Irish novelist (Amongst Women)
John Steinbeck,M,American novelist; Nobel laureate
John Updike,M,American novelist (Rabbit series)
John le Carré,M,British spy novelist
Jon Fosse,M,Norwegian novelist; Nobel laureate
Jonathan Franzen,M,American novelist (The Corrections)
Jonathan Swift,M,Anglo-Irish satirist (Gulliver's Travels)
Josefina Vicens,F,Mexican novelist (El libro vacío)
Joseph Roth,M,Austrian novelist (Radetzky March)
José Saramago,M,Portuguese novelist; Nobel laureate
Julia Alvarez,F,Dominican-American novelist
Julian Barnes,M,British novelist; Booker winner
Julio Cortázar,M,Argentine novelist (Hopscotch)
Jun'ichirō Tanizaki,M,Japanese novelist (The Makioka Sisters)
Kate Atkinson,F,British novelist (Life After Life)
Kaveh Akbar,M,Iranian-American poet/novelist (Martyr!)
Kawakami Hiromi,F,Japanese novelist (Strange Weather in Tokyo)
Kenneth Patchen,M,American poet/novelist
Keri Hulme,F,New Zealand novelist (The Bone People)
Khaled Hosseini,M,Afghan-American novelist (Kite Runner)
Kingsley Amis,M,British novelist (Lucky Jim)
Kiran Desai,F,Indian novelist (Inheritance of Loss)
Knut Hamsun,M,Norwegian novelist; Nobel laureate
Kurt Vonnegut,M,American novelist (Slaughterhouse-Five)
Laila Lalami,F,Moroccan-American novelist
Larry McMurtry,M,American novelist (Lonesome Dove)
Lauren Groff,F,American novelist (Fates and Furies)
Lawrence Durrell,M,British novelist (Alexandria Quartet)
Leila Aboulela,F,Sudanese novelist
Leila Mottley,F,American novelist (Nightcrawling)
Leslie Silko,F,Native American novelist (Ceremony)
Lewis Carroll,M,British writer (Alice in Wonderland)
Lorrie Moore,F,American short story writer
Louise Erdrich,F,Native American novelist
Lucas Rijneveld,M,Dutch non-binary novelist; uses he/him (Discomfort of Evening)
Lucy Ellmann,F,American-British novelist (Ducks Newburyport)
Lucy Maud Montgomery,F,Canadian novelist (Anne of Green Gables)
Madame de La Fayette,F,French novelist (Princesse de Clèves)
Madeline Miller,F,American novelist (Circe)
Maggie O'Farrell,F,British novelist (Hamnet)
Malcolm Lowry,M,British novelist (Under the Volcano)
Malorie Blackman,F,British YA novelist (Noughts & Crosses)
Margaret Drabble,F,British novelist
Margaret Oliphant,F,Scottish Victorian novelist
Marghanita Laski,F,British novelist (Little Boy Lost)
Marguerite Duras,F,French novelist (The Lover)
Marguerite Yourcenar,F,French-Belgian novelist (Memoirs of Hadrian)
Marian Engel,F,Canadian novelist (Bear)
Mariana Enriquez,F,Argentine novelist
Mario Vargas Llosa,M,Peruvian novelist; Nobel laureate
Mark Twain,M,American novelist (Huckleberry Finn)
Mark Z. Danielewski,M,American novelist (House of Leaves)
Marlon James,M,Jamaican novelist; Booker winner
Martin Amis,M,British novelist (Money)
Mathias Enard,M,French novelist (Compass)
Matthew Gregory Lewis,M,British Gothic novelist (The Monk)
Max Porter,M,British novelist (Grief is the Thing with Feathers)
Mercè Rodoreda,F,Catalan novelist (Time of the Doves)
Mervyn Peake,M,British novelist (Gormenghast)
Mia Couto,M,Mozambican novelist (Sleepwalking Land)
Michael Chabon,M,American novelist (Kavalier & Clay)
Michael Frayn,M,British novelist/playwright
Michael Ondaatje,M,Sri Lankan-Canadian novelist (English Patient)
Milan Kundera,M,Czech-French novelist (Unbearable Lightness)
Min Jin Lee,F,Korean-American novelist (Pachinko)
Miriam Toews,F,Canadian novelist (Women Talking)
Miroslav Krleža,M,Croatian novelist
Mohsin Hamid,M,Pakistani novelist (Reluctant Fundamentalist)
Murasaki Shikibu,F,Japanese novelist (Tale of Genji)
Máirtín Ó Cadhain,M,Irish-language novelist (Cré na Cille)
Nadine Gordimer,F,South African novelist; Nobel laureate
Nancy Mitford,F,British novelist
Natalia Ginzburg,F,Italian novelist
Nathaniel Hawthorne,M,American novelist (Scarlet Letter)
Nella Larsen,F,American Harlem Renaissance novelist (Passing)
Nellie Campobello,F,Mexican novelist (Cartucho)
Nick Hornby,M,British novelist (High Fidelity)
Nicola Barker,F,British novelist
Nino Haratischvili,F,Georgian-German novelist (Eighth Life)
Norton Juster,M,American author (The Phantom Tollbooth)
Nuruddin Farah,M,Somali novelist
Ocean Vuong,M,Vietnamese-American writer (On Earth We're Briefly Gorgeous)
Octavia E. Butler,F,American SF novelist
Olga Ravn,F,Danish novelist (The Employees)
Olga Tokarczuk,F,Polish novelist; Nobel laureate
Oliver Goldsmith,M,Anglo-Irish writer (Vicar of Wakefield)
Osamu Dazai,M,Japanese novelist (No Longer Human)
Oscar Casares,M,American novelist (Brownsville)
Oscar Wilde,M,Irish writer (Picture of Dorian Gray)
P. G. Wodehouse,M,British humorist (Jeeves & Wooster)
Pat Barker,F,British novelist (Regeneration trilogy)
Pat O'Shea,F,Irish children's author (Hounds of the Morrigan)
Patrick Chamoiseau,M,Martinican novelist (Texaco)
Patrick Hamilton,M,British novelist (Hangover Square)
Patrick O'Brian,M,British novelist (Aubrey-Maturin)
Paul Auster,M,American novelist (New York Trilogy)
Paul Beatty,M,American novelist (The Sellout)
Paul Bowles,M,American novelist (Sheltering Sky)
Paul Golding,M,British novelist (The Abomination)
Paul Murray,M,Irish novelist (The Bee Sting)
Paulo Coelho,M,Brazilian novelist (The Alchemist)
Penelope Fitzgerald,F,British novelist (The Blue Flower)
Percival L. Everett,M,American novelist (Erasure; James)
Peter Carey,M,Australian novelist; Booker winner
Peter Høeg,M,Danish novelist (Miss Smilla's Feeling for Snow)
Philip Pullman,M,British novelist (His Dark Materials)
Philip Roth,M,American novelist (American Pastoral)
Primo Levi,M,Italian writer (If This Is a Man)
Pu Songling,M,Chinese writer (Strange Tales from a Chinese Studio)
R. C. Sherriff,M,British playwright (Journey's End)
R. J. Palacio,F,American novelist (Wonder); Raquel Jaramillo
R. K. Narayan,M,Indian novelist (Malgudi novels)
Rachel Carson,F,American science writer (Silent Spring)
Rachel Cusk,F,British novelist (Outline trilogy)
Ray Bradbury,M,American SF novelist (Fahrenheit 451)
Raymond Chandler,M,American crime novelist
Richard Adams,M,British novelist (Watership Down)
Richard Brautigan,M,American novelist (Trout Fishing in America)
Richard Ford,M,American novelist (Independence Day)
Richard Hughes,M,British novelist (High Wind in Jamaica)
Richard McGuire,M,American cartoonist (Here)
Richard Powers,M,American novelist (The Overstory)
Richard Wright,M,American novelist (Native Son)
Richard Yates,M,American novelist (Revolutionary Road)
Roald Dahl,M,British author
Robert Louis Stevenson,M,Scottish novelist (Treasure Island)
Robert Stone,M,American novelist (Dog Soldiers)
Roberto Bolaño,M,Chilean novelist (2666)
Robertson Davies,M,Canadian novelist (Deptford Trilogy)
Rokeya Sakhawat Hossain,F,Bengali feminist writer (Sultana's Dream)
Romain Gary,M,French novelist (Promise at Dawn)
Rose Tremain,F,British novelist
Rosemary Tonks,F,British novelist/poet
Rudyard Kipling,M,British writer (Kim)
Russell Hoban,M,American-British novelist (Riddley Walker)
Ruth Ozeki,F,American-Canadian novelist (A Tale for the Time Being)
S. E. Hinton,F,American YA novelist (The Outsiders)
Sadegh Hedayat,M,Iranian novelist (Blind Owl)
Sally Rooney,F,Irish novelist (Normal People)
Samuel Beckett,M,Irish writer; Nobel laureate
Samuel Richardson,M,English novelist (Clarissa)
Samuel Selvon,M,Trinidadian novelist (Lonely Londoners)
Sarah Bernstein,F,Canadian novelist (Study for Obedience)
Sarah Moss,F,British novelist (Ghost Wall)
Sarah Orne Jewett,F,American novelist (Country of the Pointed Firs)
Sarah Waters,F,British novelist (Fingersmith)
Saul Bellow,M,American novelist; Nobel laureate
Scheherazade,F,legendary frame narrator of 1001 Nights
Selby Wynn Schwartz,F,American novelist (After Sappho)
Shirley Jackson,F,American novelist (The Haunting of Hill House)
Simin Daneshvar,F,Iranian novelist (Savushun)
Stendhal,M,French novelist (The Red and the Black)
Stephen Crane,M,American novelist (Red Badge of Courage)
Stephen King,M,American horror novelist
Susan Cooper,F,British fantasy novelist (Dark Is Rising)
Susanna Clarke,F,British novelist (Jonathan Strange & Mr Norrell)
Sybille Bedford,F,German-British novelist (A Legacy)
Sylvia Plath,F,American poet/novelist (The Bell Jar)
Sylvia Townsend Warner,F,British novelist (Lolly Willowes)
Tarjei Vesaas,M,Norwegian novelist (Ice Palace)
Tayeb Salih,M,Sudanese novelist (Season of Migration to the North)
Thomas Bernhard,M,Austrian novelist
Thomas Pynchon,M,American novelist (Gravity's Rainbow)
Tim Winton,M,Australian novelist (Cloudstreet)
Tom Wolfe,M,American novelist (Bonfire of the Vanities)
Torrey Peters,F,American trans novelist (Detransition Baby)
Tove Jansson,F,Finnish-Swedish novelist (Moomins; Summer Book)
Truman Capote,M,American novelist (In Cold Blood)
U. R. Anantha Murthy,M,Kannada novelist (Samskara)
Umberto Eco,M,Italian novelist (Name of the Rose)
Ursula K. Le Guin,F,American SF novelist
V. S. Naipaul,M,Trinidadian-British novelist; Nobel laureate
Victor Hugo,M,French novelist (Les Misérables)
Vikram Seth,M,Indian novelist (A Suitable Boy)
Virginie Despentes,F,French novelist (Vernon Subutex)
Walker Percy,M,American novelist (The Moviegoer)
Walter Scott,M,Scottish novelist (Waverley; Ivanhoe)
Wang Xiaobo,M,Chinese novelist (Golden Age)
William Gaddis,M,American novelist (The Recognitions)
William H. Gass,M,American novelist (The Tunnel)
William Hope Hodgson,M,British horror/SF writer (The Night Land)
William Maxwell,M,American novelist (So Long See You Tomorrow)
William Somerset Maugham,M,British novelist (Of Human Bondage)
William Trevor,M,Irish novelist
Wole Soyinka,M,Nigerian writer; Nobel laureate
Yael van der Wouden,F,Dutch novelist (The Safekeep)
Yoko Ogawa,F,Japanese novelist (The Memory Police)
Yoko Tawada,F,Japanese-German novelist
Yukio Mishima,M,Japanese novelist
Yuko Tsushima,F,Japanese novelist (Territory of Light)
Ágota Kristóf,F,Hungarian-Swiss novelist (The Notebook)
Álvaro Enrigue,M,Mexican novelist (Sudden Death)
Émile Zola,M,French novelist (Germinal)
